Compound Id,Final Compound Concentration, LmPTR1 [µM],Avg % Inhibition (slope), LmPTR1,STD % Inhibition (slope), LmPTR1,Flag for Interference, LmPTR1,Final Compound Concentration, TbPTR1 [µM],Avg % Inhibition (slope), TbPTR1,STD % Inhibition (slope), TbPTR1,Flag for Interference, TbPTR1,Final Compound Concentration, hERG [µM],Avg % Inhibition, hERG,STD % Inhibition , hERG,Flag for Interference, hERG,Final Compound Concentration, CYP1A2 [µM],Avg % Inhibition, CYP1A2,STD % Inhibition, CYP1A2,Final Compound Concentration, CYP2C9 [µM],Avg % Inhibition, CYP2C9,STD % Inhibition, CYP2C9,Final Compound Concentration, CYP2C19 [µM],Avg % Inhibition, CYP2C19,STD % Inhibition, CYP2C19,Final Compound Concentration, CYP2D6 [µM],Avg % Inhibition, CYP2D6,STD % Inhibition, CYP2D6,Final Compound Concentration, CYP3A4 [µM],Avg % Inhibition, CYP3A4,STD % Inhibition, CYP3A4,Final Compound Concentration, A549 [µM],Avg % Cell Growth, A549*,STD % Cell Growth, A549,Final Compound Concentration, W1-38 [µM],Avg % Cell Growth, W1-38*,STD % Cell Growth, W1-38,Final Compound Concentration, Mitochondria [µM],Avg % Toxicity Mitochondria**,STD % Toxicity, Mitochondria,,
NMT-F0106,50,14.24,1.94,No,50,15.56,0.67,No,10,91.65,8.39,No,10,80.55,1.62,10,46.73,1.46,10,64.91,1.66,10,52.69,2.10,10,35.74,7.87,10,107.01,1.20,10,77.80,22.13,10,7.62,8.27,,
NMT-F0107,50,3.91,0.63,No,50,31.01,1.32,No,10,107.88,9.62,No,10,15.96,1.09,10,33.53,1.70,10,45.99,0.80,10,105.21,0.12,10,87.66,0.43,10,107.00,5.82,10,128.94,14.13,10,-15.32,24.31,,
NMT-F0108,50,0.33,0.41,No,50,0.16,0.52,No,10,9.13,17.01,Yes,10,100.51,0.56,10,45.27,0.95,10,48.44,2.05,10,76.86,1.92,10,69.66,1.21,10,110.71,2.19,10,91.87,15.70,10,15.66,16.76,,
NMT-H0037,50,75.36,0.56,No,50,53.11,1.00,No,10,-3.42,10.57,No,10,37.95,3.33,10,22.84,3.13,10,-4.27,9.13,10,19.36,4.36,10,18.51,5.51,10,97.53,9.58,10,65.60,10.63,10,5.48,11.69,,
NMT-H0038,50,4.18,0.93,Yes,50,4.90,0.54,No,10,42.09,2.69,No,10,85.15,2.34,10,25.78,3.61,10,47.26,2.70,10,79.61,3.57,10,6.15,8.64,10,106.68,6.08,10,91.33,9.26,10,15.76,19.68,,
NMT-H0039,50,1.04,1.14,No,50,0.60,0.27,No,10,-1.61,12.29,No,10,72.13,0.81,10,13.65,10.51,10,-3.14,3.49,10,17.38,1.65,10,-13.11,5.99,10,99.85,3.89,10,89.05,15.20,10,-5.78,6.29,,
NMT-H0040,50,3.09,1.85,No,50,3.53,0.53,No,10,23.75,1.08,No,10,97.76,0.48,10,35.63,1.13,10,59.01,4.70,10,22.52,1.57,10,-6.88,3.76,10,100.85,2.59,10,71.86,27.65,10,3.68,20.82,,
NMT-H0041,50,4.69,1.21,Yes,50,0.40,1.05,Yes,10,2.66,9.98,No,10,39.58,4.53,10,21.70,2.51,10,34.22,8.85,10,47.67,1.20,10,5.03,6.73,10,107.16,3.62,10,101.53,21.11,10,14.23,18.33,,
NMT-H0042,50,1.88,0.81,No,50,2.55,1.32,No,10,11.78,5.07,No,10,105.32,0.68,10,56.32,3.26,10,42.77,6.28,10,84.17,2.46,10,5.54,10.00,10,76.02,2.77,10,86.01,7.57,10,-14.09,10.94,,
NMT-H0043,50,-1.31,0.75,No,50,-0.77,1.34,No,10,-1.31,8.53,No,10,104.06,0.85,10,71.30,2.05,10,54.30,5.63,10,50.80,1.73,10,14.11,6.00,10,105.61,6.79,10,91.57,20.84,10,-0.99,10.80,,
